Teorica,PESO PRENDA,LARGO DE CUERPO,AREA,DE_MODELO
505,205,53.5,4066,TOP2 V
275,106,72.5,8192.5,TOP2 V
195,95,33.5,2144,TOP2 V
252,76,3,255,TOP2 V
513,193,79,7584,TOP2 V
367,118,32.5,2665,TOP2 V
222,56,16,1408,TOP2 V
484,151,33,2805,TOP2 V
237,63,21.5,1612.5,TOP2 V
179,58,34.5,3829.5,TOP2 V
251,147,36,3528,TOP2 V
351,83,70,5460,TOP2 V
361,102,46,3588,TOP2 V
244,61,21.5,1548,TOP2 V
207,105,37.5,3225,TOP2 V
243,134,34.5,3312,TOP2 V
530,246,74.5,7077.5,TOP2 V
97,24,4,328,TOP2 V
250,65,22.5,1642.5,TOP2 V
565,166,105,11550,TOP2 V
229,151,33.5,3015,TOP2 V
248,112,36.5,3212,TOP2 V
537,221,62.5,6625,TOP2 V
329,113,36.5,3212,TOP2 V
405,143,72.5,6670,TOP2 V
436,156,36,2808,TOP2 V
254,128,40,3440,TOP2 V
350,151,64.5,7482,TOP2 V
308,108,56,4368,TOP2 V
188,52,19,1558,TOP2 V
628,230,90,9450,TOP2 V
122,39,19,1634,TOP2 V
124,42,17,1496,TOP2 V
444,184,65,6760,TOP2 V
255,90,39.5,3476,TOP2 V
490,193,69,7521,TOP2 V
320,220,44,3872,TOP2 V
380,143,37,3478,TOP2 V
166,55,22,1694,TOP2 V
252,80,29,2494,TOP2 V
273,74,49,3724,TOP2 V
352,192,81.5,7661,TOP2 V
409,163,40,4200,TOP2 V
447,193,80.5,8050,TOP2 V
377,158,36.5,3066,TOP2 V
417,159,37,2960,TOP2 V
273,185,33,2772,TOP2 V
180,57,33.5,3685,TOP2 V
251,147,38,3838,TOP2 V
267,108,73,7811,TOP2 V
479,177,102,9588,TOP2 V
229,88,26.5,2517.5,TOP2 V
479,280,122,10736,TOP2 V
181,45,19.5,1579.5,TOP2 V
106,51,16.5,1485,TOP2 V
456,200,83,6474,TOP2 V
536,227,64.5,6708,TOP2 V
345,123,54,5076,TOP2 V
289,112,74,8140,TOP2 V
476,166,34,3128,TOP2 V
307,105,47.5,3800,TOP2 V
340,109,46.5,3766.5,TOP2 V
380,126,51.5,4223,TOP2 V
397,103,64,4224,TOP2 V
310,105,42,3570,TOP2 V
292,138,48,4032,TOP2 V
299,135,45,3780,TOP2 V
175,88,28.5,2308.5,TOP2 V
178,80,27,2646,TOP2 V
251,125,34,3434,TOP2 V
249,109,30,2520,TOP2 V
